#EMOJI,TITLE,CATEGORY,CODEPOINT,PARENTCODEPOINT,ANNOTATIONS,BRI,VERSION
💒,Wedding,TRAVEL,U+1F492,,activity;chapel;place;romance;wedding,,9
🏛,Classical Building,TRAVEL,U+1F3DB,,building;classical;place,work;judge;law;court;,9
⛪️,Church,TRAVEL,U+26EA U+FE0F,,building;christian;church;cross;place;religion,,9
🕌,Mosque,TRAVEL,U+1F54C,,islam;mosque;muslim;place;religion,,9
🕍,Synagogue,TRAVEL,U+1F54D,,jew;jewish;place;religion;synagogue;temple,,9
🕋,Kaaba,TRAVEL,U+1F54B,,islam;kaaba;muslim;place;religion,,9
⛩,Shinto Shrine,TRAVEL,U+26E9,,religion;shinto;shrine;symbol,,9
🛤,Railway Track,TRAVEL,U+1F6E4,,place;railway;train;travel,,9
🛣,Motorway,TRAVEL,U+1F6E3,,highway;motorway;place;road;travel,drive;speed;roadtrip;,9
🗾,Silhouette of Japan,TRAVEL,U+1F5FE,,japan;map;place,,9
🎑,Moon Viewing Ceremony,TRAVEL,U+1F391,,activity;celebration;ceremony;entertainment;moon;nature;object,,9
🏞,National Park,TRAVEL,U+1F3DE,,national park;nature;park;place,yosemite;,9
🌅,Sunrise,TRAVEL,U+1F305,,morning;nature;place;sun;sunrise;time;weather,,9
🌄,Sunrise Over Mountains,TRAVEL,U+1F304,,morning;mountain;nature;place;sun;sunrise;time;weather,,9
🌠,Shooting Star,TRAVEL,U+1F320,,activity;falling;nature;place;shooting;space;star,,9
🎇,Firework Sparkler,TRAVEL,U+1F387,,activity;celebration;entertainment;fireworks;object;sparkle,congrats;awesome;,9
🎆,Fireworks,TRAVEL,U+1F386,,activity;celebration;entertainment;fireworks;object,congrats;awesome;,9
🌇,Sunset Over Buildings,TRAVEL,U+1F307,,building;dusk;nature;place;sun;sunset;time;weather,,9
🌆,Cityscape at Dusk,TRAVEL,U+1F306,,building;city;dusk;evening;landscape;nature;place;sun;sunset;time;weather,,9
🏙,Cityscape,TRAVEL,U+1F3D9,,building;city;place,,9
🌃,Night With Stars,TRAVEL,U+1F303,,nature;night;place;star;weather,,9
🌌,Milky Way,TRAVEL,U+1F30C,,milky way;nature;place;space;weather,,9
🌉,Bridge at Night,TRAVEL,U+1F309,,bridge;nature;night;place;weather,san francisco;,9
🌁,Foggy,TRAVEL,U+1F301,,fog;nature;place;weather,san francisco;,9
⌚️,Watch,OBJECTS,U+231A U+FE0F,,clock;object;time;watch,,9
📱,Mobile Phone,OBJECTS,U+1F4F1,,cell;communication;mobile;object;phone;telephone,,9
📲,Mobile Phone With Rightwards Arrow at Left,OBJECTS,U+1F4F2,,arrow;call;cell;communication;mobile;object;phone;receive;telephone,,9
💻,Personal Computer,OBJECTS,U+1F4BB,,computer;object;office;pc;personal,,9
⌨️,Keyboard,OBJECTS,U+2328 U+FE0F,,computer;keyboard;object;sign,,9
🖥,Desktop Computer,OBJECTS,U+1F5A5,,computer;desktop;object;office,,9
🖨,Printer,OBJECTS,U+1F5A8,,computer;object;office;printer,,9
🖱,Three Button Mouse,OBJECTS,U+1F5B1,,3;button;computer;mouse;object;office;three,,9
🖲,Trackball,OBJECTS,U+1F5B2,,computer;object;office;trackball,,9
🕹,Joystick,OBJECTS,U+1F579,,entertainment;game;joystick;object;video game,game;classic;,9
🗜,Compression,OBJECTS,U+1F5DC,,compression;object;tool;vice,tool;construction;fabrication;,9
💽,Minidisc,OBJECTS,U+1F4BD,,computer;disk;entertainment;minidisk;object;office;optical,save;,9
💾,Floppy Disk,OBJECTS,U+1F4BE,,computer;disk;floppy;object;office,save;,9
💿,Optical Disc,OBJECTS,U+1F4BF,,blu-ray;cd;computer;disk;dvd;object;office;optical,save;,9
📀,DVD,OBJECTS,U+1F4C0,,blu-ray;cd;computer;disk;dvd;entertainment;object;office;optical,movie;,9
📼,Videocassette,OBJECTS,U+1F4FC,,entertainment;object;tape;vhs;video;videocassette,movie;,9
📷,Camera,OBJECTS,U+1F4F7,,camera;entertainment;object;video,pics;pictures;cam;photo;shoot;snap;,9
📸,Camera With Flash,OBJECTS,U+1F4F8,,camera;flash;object;video,pics;pictures;cam;photo;shoot;snap;flash,9
📹,Video Camera,OBJECTS,U+1F4F9,,camera;entertainment;object;video,cam;photo;shoot;snap;,9
🎥,Movie Camera,OBJECTS,U+1F3A5,,activity;camera;cinema;entertainment;movie;object,cam;photo;shoot;snap;,9
📽,Film Projector,OBJECTS,U+1F4FD,,cinema;entertainment;film;movie;object;projector;video,cam;photo;shoot;snap;,9
🎞,Film Frames,OBJECTS,U+1F39E,,cinema;entertainment;film;frames;movie;object,,9
📞,Telephone Receiver,OBJECTS,U+1F4DE,,communication;object;phone;receiver;sound;telephone,call;phone;,9
☎️,Black Telephone,OBJECTS,U+260E U+FE0F,,object;office;phone;sound;telephone,call;phone;,9
📟,Pager,OBJECTS,U+1F4DF,,communication;object;office;pager,page;need;,9
📠,Fax Machine,OBJECTS,U+1F4E0,,communication;fax;object;office,,9
📺,Television,OBJECTS,U+1F4FA,,entertainment;object;television;tv;video,shows;movies;video games;,9
📻,Radio,OBJECTS,U+1F4FB,,entertainment;object;radio;video,,9
🎙,Studio Microphone,OBJECTS,U+1F399,,mic;microphone;music;object;sound;studio,singing;talk;radio;speak;,9
🎚,Level Slider,OBJECTS,U+1F39A,,level;music;object;slider;sound,,9
🎛,Control Knobs,OBJECTS,U+1F39B,,control;knobs;music;object;sound,dj;dials;settings;,9
🧭,compass,OBJECTS,U+1F9ED,,compass;magnetic;navigation;orienteering,map;,12.1
⏱,Stopwatch,OBJECTS,U+23F1,,stopwatch;clock;time,alert;now;tick;tock;,9
⏲,Timer Clock,OBJECTS,U+23F2,,timer;clock;time,alert;now;tick;tock;,9
⏰,Alarm Clock,OBJECTS,U+23F0,,alarm;clock;object;time,alert;now;tick;tock;,9
🕰,Mantelpiece Clock,OBJECTS,U+1F570,,clock;object,,9
⌛️,Hourglass,OBJECTS,U+231B U+FE0F,,hourglass;object;sand;time;timer,wait;,9
⏳,Hourglass With Flowing Sand,OBJECTS,U+23F3,,hourglass;object;sand;time;timer,wait;,9
📡,Satellite Antenna,OBJECTS,U+1F4E1,,antenna;communication;dish;object;office;satellite,,9
🔋,Battery,OBJECTS,U+1F50B,,battery;object,juice;dead;charge;,9
🔌,Electric Plug,OBJECTS,U+1F50C,,electric;electricity;object;plug,,9
💡,Electric Light Bulb,OBJECTS,U+1F4A1,,bulb;comic;electric;idea;light;object,idea;smart;think;,9
🔦,Electric Torch,OBJECTS,U+1F526,,electric;flashlight;light;object;tool;torch,,9
🕯,Candle,OBJECTS,U+1F56F,,candle;light;object,,9
🧯,fire extinguisher,OBJECTS,U+1F9EF,,extinguish;fire;fire extinguisher;quench,fire;hot;,12.1
🛢,Oil Drum,OBJECTS,U+1F6E2,,drum;object;oil,,9
💸,Money With Wings,OBJECTS,U+1F4B8,,bank;banknote;bill;dollar;fly;money;note;object;office;wings,rich;moola;bank;hundreds;,9
💵,Banknote With Dollar Sign,OBJECTS,U+1F4B5,,bank;banknote;bill;currency;dollar;money;note;object;office,rich;moola;bank;hundreds;,9
💴,Banknote With Yen Sign,OBJECTS,U+1F4B4,,bank;banknote;bill;currency;money;note;object;office;yen,rich;moola;bank;hundreds;,9
💶,Banknote With Euro Sign,OBJECTS,U+1F4B6,,bank;banknote;bill;currency;euro;money;note;object;office,rich;moola;bank;hundreds;,9
💷,Banknote With Pound Sign,OBJECTS,U+1F4B7,,bank;banknote;bill;currency;money;note;object;office;pound,rich;moola;bank;hundreds;,9
💰,Money Bag,OBJECTS,U+1F4B0,,bag;dollar;money;moneybag;object;office,rich;moola;bank;hundreds;,9
💳,Credit Card,OBJECTS,U+1F4B3,,bank;card;credit;money;object;office,,9
💎,Gem Stone,OBJECTS,U+1F48E,,diamond;emotion;gem;jewel;object;person;romance,stone;,9
⚖️,Scales,OBJECTS,U+2696 U+FE0F,,balance;justice;libra;object;scales;tool;weight;zodiac,,9
🧰,toolbox,OBJECTS,U+1F9F0,,chest;mechanic;tool;toolbox,tools;box;,12.1
🔧,Wrench,OBJECTS,U+1F527,,object;tool;wrench,construction;repair,9
🔨,Hammer,OBJECTS,U+1F528,,hammer;object;tool,construction;repair,9
⚒,Hammer and Pick,OBJECTS,U+2692,,hammer;object;pick;tool,construction;repair,9
🛠,Hammer and Wrench,OBJECTS,U+1F6E0,,hammer;object;tool;wrench,construction;repair,9
⛏,Pick,OBJECTS,U+26CF,,mining;object;pick;tool,construction;repair,9
🔩,Nut and Bolt,OBJECTS,U+1F529,,bolt;nut;object;tool,construction;repair,9
⚙️,Gear,OBJECTS,U+2699 U+FE0F,,gear;object;tool,construction;repair,9
🧱,brick,OBJECTS,U+1F9F1,,brick;bricks;clay;mortar;wall,red;brick;mortar;,12.1
⛓,Chains,OBJECTS,U+26D3,,chain;object,construction;repair,9
🧲,magnet,OBJECTS,U+1F9F2,,attraction;horseshoe;magnet;magnetic,science;metal;positive;negative,12.1
🔫,Pistol,OBJECTS,U+1F52B,,gun;object;pistol;revolver;tool;weapon,water gun;pow;,9
💣,Bomb,OBJECTS,U+1F4A3,,bomb;comic;object,explode;bam;drop;pow;,9
🧨,firecracker,OBJECTS,U+1F9E8,,dynamite;explosive;firecracker;fireworks,bang;bam;pop;snap;crackle;,12.1
🔪,Hocho,OBJECTS,U+1F52A,,cooking;hocho;knife;object;tool;weapon,,9
🗡,Dagger Knife,OBJECTS,U+1F5E1,,dagger;knife;object;weapon,,9
⚔️,Crossed Swords,OBJECTS,U+2694 U+FE0F,,crossed;object;swords;weapon,,9
🛡,Shield,OBJECTS,U+1F6E1,,object;shield;weapon,,9
🚬,Smoking Symbol,OBJECTS,U+1F6AC,,activity;object;smoking,cigarette,9
⚰️,Coffin,OBJECTS,U+26B0 U+FE0F,,coffin;death;object,dead,9
⚱️,Funeral Urn,OBJECTS,U+26B1 U+FE0F,,death;funeral;object;urn,,9
🏺,Amphora,OBJECTS,U+1F3FA,,amphora;aquarius;cooking;drink;jug;nature;tool;weapon;zodiac,,9
🔮,Crystal Ball,OBJECTS,U+1F52E,,ball;crystal;fairy tale;fantasy;fortune;object;tool,future,9
📿,Prayer Beads,OBJECTS,U+1F4FF,,beads;clothing;necklace;object;person;prayer;religion,,9
🧿,nazar amulet,OBJECTS,U+1F9FF,,bead;charm;evil-eye;nazar;nazar amulet;talisman,talisman;babak;,12.1
💈,Barber Pole,OBJECTS,U+1F488,,barber;haircut;place;pole,,9
⚗️,Alembic,OBJECTS,U+2697 U+FE0F,,alembic;chemistry;object;tool,,9
🔭,Telescope,OBJECTS,U+1F52D,,object;telescope;tool,space;stars;galaxies;planets;mars;jupiter;venus;mercury;,9
🔬,Microscope,OBJECTS,U+1F52C,,microscope;object;tool,biology;cells;inspect;,9
🕳,Hole,OBJECTS,U+1F573,,hole;symbol,,9
💊,Pill,OBJECTS,U+1F48A,,doctor;medicine;object;pill;sick,,9
💉,Syringe,OBJECTS,U+1F489,,doctor;medicine;needle;object;shot;sick;syringe;tool,,9
🧬,dna,OBJECTS,U+1F9EC,,biologist;dna;evolution;gene;genetics;life,science;helix;biology;bio;,12.1
🦠,microbe,OBJECTS,U+1F9A0,,amoeba;bacteria;microbe;virus,science;bacteria;biology;bio;,12.1
🧫,petri dish,OBJECTS,U+1F9EB,,bacteria;biologist;biology;culture;lab;petri dish,science;bacteria;biology;bio;,12.1
🧪,test tube,OBJECTS,U+1F9EA,,chemist;chemistry;experiment;lab;science;test tube,science;classroom;class;potion,12.1
🌡,Thermometer,OBJECTS,U+1F321,,nature;thermometer;weather,,9
🧹,broom,OBJECTS,U+1F9F9,,broom;cleaning;sweeping;witch,sweep;clean;witch;,12.1
🧺,basket,OBJECTS,U+1F9FA,,basket;farming;laundry;picnic,laundry;picnic;wicker;,12.1
🧻,roll of paper,OBJECTS,U+1F9FB,,paper towels;roll of paper;toilet paper,toilet;tp;bathroom;,12.1
🚽,Toilet,OBJECTS,U+1F6BD,,object;place;toilet;travel,,9
🚰,Potable Water Symbol,OBJECTS,U+1F6B0,,drink;potable;sign;symbol;travel;water,,9
🚿,Shower,OBJECTS,U+1F6BF,,object;place;shower;travel;water,,9
🛁,Bathtub,OBJECTS,U+1F6C1,,bath;bathtub;object;place;travel,,9
🛀,Bath,OBJECTS,U+1F6C0,U+1F6C0,bath;bathtub;object;place;travel,,9
🛀🏻,Bath +  Modifier Fitzpatrick Type-1-2,OBJECTS,U+1F6C0 U+1F3FB,U+1F6C0,bath;bathtub;object;place;travel,,9
🛀🏼,Bath +  Modifier Fitzpatrick Type-3,OBJECTS,U+1F6C0 U+1F3FC,U+1F6C0,bath;bathtub;object;place;travel,,9
🛀🏽,Bath +  Modifier Fitzpatrick Type-4,OBJECTS,U+1F6C0 U+1F3FD,U+1F6C0,bath;bathtub;object;place;travel,,9
🛀🏾,Bath +  Modifier Fitzpatrick Type-5,OBJECTS,U+1F6C0 U+1F3FE,U+1F6C0,bath;bathtub;object;place;travel,,9
🛀🏿,Bath +  Modifier Fitzpatrick Type-6,OBJECTS,U+1F6C0 U+1F3FF,U+1F6C0,bath;bathtub;object;place;travel,,9
🧼,soap,OBJECTS,U+1F9FC,,bar;bathing;cleaning;lather;soap;soapdish,clean;bar;wash;,12.1
🧽,sponge,OBJECTS,U+1F9FD,,absorbing;cleaning;porous;sponge,clean;wash;scrub;,12.1
🧴,lotion bottle,OBJECTS,U+1F9F4,,lotion;lotion bottle;moisturizer;shampoo;sunscreen,lotion;moisture;moisturize;smooth;,12.1
🛎,Bellhop Bell,OBJECTS,U+1F6CE,,bell;bellhop;hotel;object,,9
🔑,Key,OBJECTS,U+1F511,,key;lock;object;password;major,success;,9
🗝,Old Key,OBJECTS,U+1F5DD,,clue;key;lock;object;old,,9
🚪,Door,OBJECTS,U+1F6AA,,door;object;travel,,9
🛋,Couch and Lamp,OBJECTS,U+1F6CB,,couch;hotel;lamp;object,,9
🛏,Bed,OBJECTS,U+1F6CF,,bed;hotel;object;sleep,tired;,9
🛌,Sleeping Accommodation,OBJECTS,U+1F6CC,,hotel;object;sleep,tired;,9
🧸,teddy bear,OBJECTS,U+1F9F8,,plaything;plush;stuffed;teddy bear;toy,doll;play;,12.1
🖼,Frame With Picture,OBJECTS,U+1F5BC,,art;frame;museum;object;office;painting;picture,,9
🛍,Shopping Bags,OBJECTS,U+1F6CD,,bag;hotel;object;shopping,,9
🛒,Shopping Trolley,OBJECTS,U+1F6D2,,,shopping;shopping cart;cart;mall;groceries;store,10.2
🎁,Wrapped Present,OBJECTS,U+1F381,,box;celebration;entertainment;gift;object;present;wrapped,christmas;birthday;,9
🎈,Balloon,OBJECTS,U+1F388,,activity;balloon;celebration;entertainment;object,,9
🎏,Carp Streamer,OBJECTS,U+1F38F,,activity;carp;celebration;entertainment;flag;object;streamer,,9
🎀,Ribbon,OBJECTS,U+1F380,,celebration;emotion;object;person;ribbon,,9
🎊,Confetti Ball,OBJECTS,U+1F38A,,activity;ball;celebration;confetti;entertainment;object,congrats;wow;amazing;perfect;yay,9
🎉,Party Popper,OBJECTS,U+1F389,,activity;celebration;entertainment;object;party;popper;tada,congrats;wow;amazing;perfect;yay,9
🎎,Japanese Dolls,OBJECTS,U+1F38E,,activity;celebration;doll;entertainment;festival;japanese;object,,9
🏮,Izakaya Lantern,OBJECTS,U+1F3EE,,bar;japanese;lantern;light;place;red;restaurant,,9
🎐,Wind Chime,OBJECTS,U+1F390,,activity;bell;celebration;chime;entertainment;object;wind,,9
🧧,red envelope,OBJECTS,U+1F9E7,,gift;good luck;hóngbāo;lai see;money;red envelope,hongbao;gif;luck;money;new years;,12.1
✉️,Envelope,OBJECTS,U+2709 U+FE0F,,e-mail;email;envelope;object;office,,9
📩,Envelope With Downwards Arrow Above,OBJECTS,U+1F4E9,,arrow;communication;down;e-mail;email;envelope;letter;mail;object;office;outgoing;sent,,9
📨,Incoming Envelope,OBJECTS,U+1F4E8,,communication;e-mail;email;envelope;incoming;letter;mail;object;office;receive,,9
📧,E-Mail Symbol,OBJECTS,U+1F4E7,,communication;e-mail;email;letter;mail;object;office,,9
💌,Love Letter,OBJECTS,U+1F48C,,emotion;heart;letter;love;mail;person;romance,,9
📥,Inbox Tray,OBJECTS,U+1F4E5,,box;communication;inbox;letter;mail;object;office;receive;tray,,9
📤,Outbox Tray,OBJECTS,U+1F4E4,,box;communication;letter;mail;object;office;outbox;sent;tray,,9
📦,Package,OBJECTS,U+1F4E6,,box;communication;object;office;package;parcel,shipment;delivery;,9
🏷,Label,OBJECTS,U+1F3F7,,label;object,,9
📪,Closed Mailbox With Lowered Flag,OBJECTS,U+1F4EA,,closed;communication;flag;lowered;mail;mailbox;object;office;postbox,,9
📫,Closed Mailbox With Raised Flag,OBJECTS,U+1F4EB,,closed;communication;flag;mail;mailbox;object;office;postbox,,9
📬,Open Mailbox With Raised Flag,OBJECTS,U+1F4EC,,communication;flag;mail;mailbox;object;office;open;postbox,,9
📭,Open Mailbox With Lowered Flag,OBJECTS,U+1F4ED,,communication;flag;lowered;mail;mailbox;object;office;open;postbox,,9
📮,Postbox,OBJECTS,U+1F4EE,,communication;mail;mailbox;object;office;postbox,,9
📯,Postal Horn,OBJECTS,U+1F4EF,,communication;entertainment;horn;object;post;postal;sound,,9
📜,Scroll,OBJECTS,U+1F4DC,,object;office;paper;scroll,,9
📃,Page With Curl,OBJECTS,U+1F4C3,,curl;document;object;office;page,,9
📄,Page Facing Up,OBJECTS,U+1F4C4,,document;object;office;page,,9
📑,Bookmark Tabs,OBJECTS,U+1F4D1,,bookmark;mark;marker;object;office;tabs,,9
🧾,receipt,OBJECTS,U+1F9FE,,accounting;bookkeeping;evidence;proof;receipt,purchase;,12.1
📊,Bar Chart,OBJECTS,U+1F4CA,,bar;chart;graph;object;office,,9
📈,Chart With Upwards Trend,OBJECTS,U+1F4C8,,chart;graph;growth;object;office;trend;upward,success;good;,9
📉,Chart With Downwards Trend,OBJECTS,U+1F4C9,,chart;down;graph;object;office;trend,bad;fail;,9
🗒,Spiral Note Pad,OBJECTS,U+1F5D2,,note;object;office;pad;spiral,,9
🗓,Spiral Calendar Pad,OBJECTS,U+1F5D3,,calendar;object;office;pad;spiral,,9
📆,Tear-Off Calendar,OBJECTS,U+1F4C6,,calendar;object;office,,9
📅,Calendar,OBJECTS,U+1F4C5,,calendar;date;object;office,,9
🗑,Wastebasket,OBJECTS,U+1F5D1,,object;office;wastebasket,trash;,9
📇,Card Index,OBJECTS,U+1F4C7,,card;index;object;office;rolodex,,9
🗃,Card File Box,OBJECTS,U+1F5C3,,box;card;file;object;office,,9
🗳,Ballot Box With Ballot,OBJECTS,U+1F5F3,,ballot;box;object,,9
🗄,File Cabinet,OBJECTS,U+1F5C4,,cabinet;file;object;office,,9
📋,Clipboard,OBJECTS,U+1F4CB,,clipboard;object;office,,9
📁,File Folder,OBJECTS,U+1F4C1,,file;folder;object;office,,9
📂,Open File Folder,OBJECTS,U+1F4C2,,file;folder;object;office;open,,9
🗂,Card Index Dividers,OBJECTS,U+1F5C2,,card;dividers;index;object;office,,9
🗞,Rolled-Up Newspaper,OBJECTS,U+1F5DE,,news;newspaper;object;paper;rolled,,9
📰,Newspaper,OBJECTS,U+1F4F0,,communication;news;newspaper;object;paper,,9
📓,Notebook,OBJECTS,U+1F4D3,,notebook;object;office,notes;school;homework;,9
📔,Notebook With Decorative Cover,OBJECTS,U+1F4D4,,book;cover;decorated;education;notebook;object;office,notes;school;homework;,9
📒,Ledger,OBJECTS,U+1F4D2,,ledger;notebook;object;office,notes;school;homework;,9
📕,Closed Book,OBJECTS,U+1F4D5,,book;closed;education;object;office,notes;school;homework;,9
📗,Green Book,OBJECTS,U+1F4D7,,book;education;green;object;office,notes;school;homework;,9
📘,Blue Book,OBJECTS,U+1F4D8,,blue;book;education;object;office,notes;school;homework;,9
📙,Orange Book,OBJECTS,U+1F4D9,,book;education;object;office;orange,notes;school;homework;,9
📚,Books,OBJECTS,U+1F4DA,,book;books;education;object;office,notes;school;homework;,9
📖,Open Book,OBJECTS,U+1F4D6,,book;education;object;office;open,read;school;homework;,9
🔖,Bookmark,OBJECTS,U+1F516,,bookmark;mark;object,,9
🧷,safety pin,OBJECTS,U+1F9F7,,diaper;punk rock;safety pin,pinch;pin;,12.1
🔗,Link Symbol,OBJECTS,U+1F517,,link;object;symbol,,9
📎,Paperclip,OBJECTS,U+1F4CE,,object;office;paperclip,,9
🖇,Linked Paperclips,OBJECTS,U+1F587,,communication;link;object;office;paperclip,,9
📐,Triangular Ruler,OBJECTS,U+1F4D0,,object;office;ruler;set;triangle,,9
📏,Straight Ruler,OBJECTS,U+1F4CF,,object;office;ruler;straight edge,,9
🧮,abacus,OBJECTS,U+1F9EE,,abacus;calculation,math;numbers;number,12.1
📌,Pushpin,OBJECTS,U+1F4CC,,object;office;pin;pushpin,tack;,9
📍,Round Pushpin,OBJECTS,U+1F4CD,,object;office;pin;place;pushpin,location;,9
✂️,Black Scissors,OBJECTS,U+2702 U+FE0F,,object;office;scissors;tool,cut;,9
🖊,Lower Left Ballpoint Pen,OBJECTS,U+1F58A,,ballpoint;communication;object;office;pen,,9
🖋,Lower Left Fountain Pen,OBJECTS,U+1F58B,,communication;fountain;object;office;pen,,9
✒️,Black Nib,OBJECTS,U+2712 U+FE0F,,nib;object;office;pen,,9
🖌,Lower Left Paintbrush,OBJECTS,U+1F58C,,communication;object;office;paintbrush;painting,,9
🖍,Lower Left Crayon,OBJECTS,U+1F58D,,communication;crayon;object;office,,9
📝,Memo,OBJECTS,U+1F4DD,,communication;memo;object;office;pencil,essay;paper;write;jot;,9
✏️,Pencil,OBJECTS,U+270F U+FE0F,,object;office;pencil,write;jot;essay;,9
🔍,Left-Pointing Magnifying Glass,OBJECTS,U+1F50D,,glass;magnifying;object;search;tool,look;,9
🔎,Right-Pointing Magnifying Glass,OBJECTS,U+1F50E,,glass;magnifying;object;search;tool,look;,9
🔏,Lock With Ink Pen,OBJECTS,U+1F50F,,ink;lock;nib;object;pen;privacy,,9
🔐,Closed Lock With Key,OBJECTS,U+1F510,,closed;key;lock;object;secure,,9
🔒,Lock,OBJECTS,U+1F512,,closed;lock;object,,9
🔓,Open Lock,OBJECTS,U+1F513,,lock;object;open;unlock,,9
❤️,Heavy Black Heart,SYMBOLS,U+2764 U+FE0F,,emotion;heart;person,love;happy;excited;,9
🧡,orange heart,SYMBOLS,U+1F9E1,,orange,love;happy;excited;,11.1
💛,Yellow Heart,SYMBOLS,U+1F49B,,emotion;heart;person;yellow,love;happy;excited;,9
💚,Green Heart,SYMBOLS,U+1F49A,,emotion;green;heart;person,love;happy;excited;,9
💙,Blue Heart,SYMBOLS,U+1F499,,blue;emotion;heart;person,love;happy;excited;,9
💜,Purple Heart,SYMBOLS,U+1F49C,,emotion;heart;person;purple,love;happy;excited;,9
🖤,Black Heart,SYMBOLS,U+1F5A4,,black;evil;wicked,love;happy;excited;,10.2
💔,Broken Heart,SYMBOLS,U+1F494,,break;broken;emotion;heart;person,sad;devastated;heartbroken,9
❣️,Heavy Heart Exclamation Mark Ornament,SYMBOLS,U+2763 U+FE0F,,emotion;exclamation;heart;mark;punctuation;symbol,love;happy;excited;,9
💕,Two Hearts,SYMBOLS,U+1F495,,emotion;heart;love;person,love;happy;excited;,9
💞,Revolving Hearts,SYMBOLS,U+1F49E,,emotion;heart;person;revolving,love;happy;excited;,9
💓,Beating Heart,SYMBOLS,U+1F493,,beating;emotion;heart;heartbeat;person;pulsating,love;happy;excited;,9
💗,Growing Heart,SYMBOLS,U+1F497,,emotion;excited;growing;heart;heartpulse;nervous;person,love;happy;excited;,9
💖,Sparkling Heart,SYMBOLS,U+1F496,,emotion;excited;heart;person;sparkle,love;happy;excited;,9
💘,Heart With Arrow,SYMBOLS,U+1F498,,arrow;cupid;emotion;heart;person;romance,love;happy;excited;,9
💝,Heart With Ribbon,SYMBOLS,U+1F49D,,emotion;heart;object;person;ribbon;valentine,love;happy;excited;,9
💟,Heart Decoration,SYMBOLS,U+1F49F,,emotion;heart;person;symbol,,9
☮️,Peace Symbol,SYMBOLS,U+262E U+FE0F,,peace;sign;symbol,,9
✝️,Latin Cross,SYMBOLS,U+271D U+FE0F,,christian;cross;religion;symbol,,9
☪️,Star and Crescent,SYMBOLS,U+262A U+FE0F,,islam;muslim;religion;symbol,,9
🕉,Om Symbol,SYMBOLS,U+1F549,,hindu;om;religion;symbol,,9
☸️,Wheel of Dharma,SYMBOLS,U+2638 U+FE0F,,buddhist;dharma;religion;symbol;wheel,,9
✡️,Star of David,SYMBOLS,U+2721 U+FE0F,,david;jew;jewish;religion;star;symbol,,9
🔯,Six Pointed Star With Middle Dot,SYMBOLS,U+1F52F,,fortune;object;star;symbol,,9
🕎,Menorah With Nine Branches,SYMBOLS,U+1F54E,,candelabrum;candlestick;menorah;object;place;religion,,9
☯️,Yin Yang,SYMBOLS,U+262F U+FE0F,,religion;sign;symbol;tao;taoist;yang;yin,,9
☦️,Orthodox Cross,SYMBOLS,U+2626 U+FE0F,,christian;cross;religion;symbol,,9
🛐,Place of Worship,SYMBOLS,U+1F6D0,,place;religion;worship,,9
⛎,Ophiuchus,SYMBOLS,U+26CE,,bearer;ophiuchus;serpent;snake;symbol;zodiac,,9
♈️,Aries,SYMBOLS,U+2648 U+FE0F,,aries;ram;symbol;time;zodiac,,9
♉️,Taurus,SYMBOLS,U+2649 U+FE0F,,bull;ox;symbol;taurus;time;zodiac,,9
♊️,Gemini,SYMBOLS,U+264A U+FE0F,,gemini;symbol;time;twins;zodiac,,9
♋️,Cancer,SYMBOLS,U+264B U+FE0F,,cancer;crab;symbol;time;zodiac,,9
♌️,Leo,SYMBOLS,U+264C U+FE0F,,leo;lion;symbol;time;zodiac,,9
♍️,Virgo,SYMBOLS,U+264D U+FE0F,,maiden;symbol;time;virgin;virgo;zodiac,,9
♎️,Libra,SYMBOLS,U+264E U+FE0F,,balance;justice;libra;scales;symbol;time;zodiac,,9
♏️,Scorpius,SYMBOLS,U+264F U+FE0F,,scorpio;scorpion;scorpius;symbol;time;zodiac,,9
♐️,Sagittarius,SYMBOLS,U+2650 U+FE0F,,archer;sagittarius;symbol;time;zodiac,,9
♑️,Capricorn,SYMBOLS,U+2651 U+FE0F,,capricorn;goat;symbol;time;zodiac,,9
♒️,Aquarius,SYMBOLS,U+2652 U+FE0F,,aquarius;bearer;symbol;time;water;zodiac,,9
♓️,Pisces,SYMBOLS,U+2653 U+FE0F,,fish;pisces;symbol;time;zodiac,,9
🆔,Squared ID,SYMBOLS,U+1F194,,id;identity;symbol;word,,9
⚛️,Atom Symbol,SYMBOLS,U+269B U+FE0F,,atheist;atom;symbol,,9
🉑,Circled Ideograph Accept,SYMBOLS,U+1F251,,chinese;symbol;word,,9
☢️,Radioactive Sign,SYMBOLS,U+2622 U+FE0F,,radioactive;sign;symbol,,9
☣️,Biohazard Sign,SYMBOLS,U+2623 U+FE0F,,biohazard;sign;symbol,,9
📴,Mobile Phone Off,SYMBOLS,U+1F4F4,,cell;communication;mobile;object;off;phone;symbol;telephone,,9
📳,Vibration Mode,SYMBOLS,U+1F4F3,,cell;communication;mobile;mode;object;phone;symbol;telephone;vibration,,9
🈶,Squared CJK Unified Ideograph-6709,SYMBOLS,U+1F236,,japanese;symbol;word,,9
🈚️,Squared CJK Unified Ideograph-7121,SYMBOLS,U+1F21A U+FE0F,,japanese;symbol;word,,9
🈸,Squared CJK Unified Ideograph-7533,SYMBOLS,U+1F238,,chinese;symbol;word,,9
🈺,Squared CJK Unified Ideograph-55b6,SYMBOLS,U+1F23A,,chinese;symbol;word,,9
🈷️,Squared CJK Unified Ideograph-6708,SYMBOLS,U+1F237 U+FE0F,,japanese;symbol;word,,9
